rank,total_score,raw_score,n_feasible,total_runtime
1,0.8257650317,1.00269801,100,169.4385951
2,0.8536692058,1.207715587,100,110.7021253
3,0.8931571643,1.255558657,100,60.31833243
4,0.8993286932,1.284755276,100,24.53889656
5,0.9080551443,1.221143796,100,95.25941277
6,0.924518367,1.320664945,100,52.07122779
7,0.925194838,1.314087684,100,38.15226555
8,0.9423798847,1.124235975,100,83.09650111
9,1.03221285,1.4642731,100,81.67932677
10,1.059830251,1.514043215,100,14.09805465
