[scipy] source=system
[l129] loading dataset ...
[l235] 100 cases, n>=0, prune_B=8.0, kw={'area_R': 1.5, 'area_g': 1.1, 'area_tol': 0.006, 'area_price': 1.0}
[scipy] source=system
[l235] A = optimizer_constructive   B = optimizer_l235lp

 case     n    A wall    B wall    speed   A solve   B solve  pyspeed
   97   118     1.168     0.972    1.203x     0.808     0.780   1.887x
   98   119     0.326     0.279    1.169x     0.225     0.220   1.712x
   99   120     1.420     1.181    1.202x     0.933     0.923   1.883x
----------------------------------------------------------------------
TOTAL          24.002    20.519    1.170x    14.233    14.231   1.553x
  'speed' is the whole LP; 'pyspeed' is wall minus solve, i.e. the
  half this change is allowed to touch. The solve columns must stay
  the same -- the program handed to HiGHS is identical.

IDENTITY GATE PASS: objective, layout hash, rows-by-origin, kept/dropped, calls and hard_ok all identical on 100 cases
L235_AB_ALL_DONE
