case,n,recipe,dt_off,dt_on,ratio
80,101,0,0.717327,0.736665,1.0270
80,101,2,0.963969,0.974767,1.0112
80,101,6,0.944928,0.958026,1.0139
80,101,22,0.967477,0.984023,1.0171
80,101,25,0.810124,0.827379,1.0213
80,101,26,0.808753,0.828724,1.0247
81,102,0,0.658325,0.680846,1.0342
81,102,2,0.762884,0.767949,1.0066
81,102,6,0.714167,0.722140,1.0112
81,102,22,0.861751,0.882435,1.0240
81,102,25,0.857925,0.869550,1.0135
81,102,26,0.860664,0.857511,0.9963
82,103,0,0.929913,0.888048,0.9550
82,103,2,0.851054,0.854906,1.0045
82,103,6,0.773068,0.763608,0.9878
82,103,22,0.981789,0.859151,0.8751
82,103,25,0.875395,0.875334,0.9999
82,103,26,0.885371,0.863450,0.9752
83,104,0,0.910495,0.878458,0.9648
83,104,2,0.786732,0.781282,0.9931
83,104,6,0.873825,0.868306,0.9937
83,104,22,0.792979,0.770663,0.9719
83,104,25,0.657776,0.639212,0.9718
83,104,26,0.660226,0.642320,0.9729
84,105,0,0.932680,0.939334,1.0071
84,105,2,0.991593,1.004039,1.0126
84,105,6,0.909102,0.921163,1.0133
84,105,22,0.779981,0.790358,1.0133
84,105,25,1.078109,1.079927,1.0017
84,105,26,1.079809,1.085851,1.0056
85,106,0,0.877734,0.879818,1.0024
85,106,2,1.011068,1.018475,1.0073
85,106,6,1.123061,1.134926,1.0106
85,106,22,1.021750,1.021971,1.0002
85,106,25,1.025162,1.026891,1.0017
85,106,26,1.022797,1.024073,1.0012
86,107,0,0.886929,1.264417,1.4256
86,107,2,0.815568,1.110955,1.3622
86,107,6,0.953483,1.561956,1.6382
86,107,22,0.961931,1.470825,1.5290
86,107,25,0.911202,1.286735,1.4121
86,107,26,0.907542,1.300511,1.4330
87,108,0,0.994793,0.992581,0.9978
87,108,2,1.258190,1.896168,1.5071
87,108,6,1.363734,1.821287,1.3355
87,108,22,0.989872,1.325432,1.3390
87,108,25,1.009425,1.368812,1.3560
87,108,26,0.987230,1.402264,1.4204
88,109,0,0.931745,1.161440,1.2465
88,109,2,0.741156,0.980905,1.3235
88,109,6,0.813294,0.925996,1.1386
88,109,22,0.651817,0.646514,0.9919
88,109,25,0.886399,0.881193,0.9941
88,109,26,0.880942,0.878483,0.9972
89,110,0,1.156574,1.141144,0.9867
89,110,2,1.264330,1.184316,0.9367
89,110,6,1.155931,1.143765,0.9895
89,110,22,1.357997,1.360882,1.0021
89,110,25,1.158633,1.156308,0.9980
89,110,26,1.253389,1.232328,0.9832
90,111,0,0.663185,0.664836,1.0025
90,111,2,0.891276,0.864831,0.9703
90,111,6,0.812226,0.736658,0.9070
90,111,22,0.621951,0.583223,0.9377
90,111,25,0.749826,0.709939,0.9468
90,111,26,0.731854,0.707575,0.9668
91,112,0,1.202249,1.210894,1.0072
91,112,2,1.378661,1.391395,1.0092
91,112,6,0.960366,0.958913,0.9985
91,112,22,1.153866,1.122215,0.9726
91,112,25,1.091726,1.100045,1.0076
91,112,26,1.122298,1.097020,0.9775
92,113,0,1.077736,1.074172,0.9967
92,113,2,1.114375,1.101963,0.9889
92,113,6,0.987570,0.982601,0.9950
92,113,22,1.097388,1.134040,1.0334
92,113,25,1.128577,1.308558,1.1595
92,113,26,1.105497,1.115173,1.0088
93,114,0,0.798246,0.760217,0.9524
93,114,2,1.084733,1.083466,0.9988
93,114,6,1.290483,1.288242,0.9983
93,114,22,1.188170,1.185486,0.9977
93,114,25,1.046072,1.021578,0.9766
93,114,26,1.043778,1.028861,0.9857
94,115,0,0.766363,0.757040,0.9878
94,115,2,1.014619,0.971701,0.9577
94,115,6,0.867609,0.871793,1.0048
94,115,22,0.712064,0.700962,0.9844
94,115,25,0.695275,0.696840,1.0023
94,115,26,0.701508,0.699855,0.9976
95,116,0,1.185217,1.087048,0.9172
95,116,2,0.969191,0.967096,0.9978
95,116,6,0.782073,0.782316,1.0003
95,116,22,0.883419,0.812305,0.9195
95,116,25,0.933244,0.925725,0.9919
95,116,26,0.935353,0.939550,1.0045
96,117,0,1.187416,1.185990,0.9988
96,117,2,1.304600,1.313077,1.0065
96,117,6,0.928063,0.917138,0.9882
96,117,22,1.081488,1.080761,0.9993
96,117,25,1.096327,1.078537,0.9838
96,117,26,1.099300,1.118843,1.0178
97,118,0,1.241558,1.246342,1.0039
97,118,2,1.254761,1.284193,1.0235
97,118,6,1.243471,1.273175,1.0239
97,118,22,0.801298,0.803000,1.0021
97,118,25,1.037779,1.044127,1.0061
97,118,26,1.081152,1.038152,0.9602
98,119,0,1.234754,1.222689,0.9902
98,119,2,1.131334,1.133738,1.0021
98,119,6,1.164153,1.177425,1.0114
98,119,22,1.280757,1.254357,0.9794
98,119,25,1.223232,1.216069,0.9941
98,119,26,1.152058,1.162513,1.0091
99,120,0,1.386942,1.383970,0.9979
99,120,2,1.558645,1.564898,1.0040
99,120,6,1.441732,1.480548,1.0269
99,120,22,1.205229,1.222776,1.0146
99,120,25,1.210369,1.204704,0.9953
99,120,26,1.210963,1.219225,1.0068
